2026-02-25 16:29:38,734 [INFO] - Logging configured.
2026-02-25 16:29:38,736 [INFO] - Initializing pipeline components...
2026-02-25 16:29:38,986 [INFO] - No checkpoint file found. Starting a new run.
2026-02-25 16:30:37,661 [INFO] - For chunk 1/1, generation 9/30 and length of current population 151 .
2026-02-25 16:30:38,181 [INFO] - For chunk 1/1, generation 10/30 and length of current population 151 .
2026-02-25 16:30:39,081 [INFO] - For chunk 1/1, generation 11/30 and length of current population 151 .
2026-02-25 16:30:39,561 [INFO] - For chunk 1/1, generation 12/30 and length of current population 151 .
2026-02-25 16:30:40,011 [INFO] - For chunk 1/1, generation 13/30 and length of current population 151 .
2026-02-25 16:30:40,535 [INFO] - For chunk 1/1, generation 14/30 and length of current population 151 .
2026-02-25 16:30:41,001 [INFO] - For chunk 1/1, generation 15/30 and length of current population 151 .
2026-02-25 16:30:41,437 [INFO] - For chunk 1/1, generation 16/30 and length of current population 151 .
2026-02-25 16:30:41,891 [INFO] - For chunk 1/1, generation 17/30 and length of current population 151 .
2026-02-25 16:30:42,361 [INFO] - For chunk 1/1, generation 18/30 and length of current population 151 .
2026-02-25 16:30:42,853 [INFO] - For chunk 1/1, generation 19/30 and length of current population 151 .
2026-02-25 16:30:43,336 [INFO] - For chunk 1/1, generation 20/30 and length of current population 151 .
2026-02-25 16:30:43,811 [INFO] - For chunk 1/1, generation 21/30 and length of current population 151 .
2026-02-25 16:30:44,301 [INFO] - For chunk 1/1, generation 22/30 and length of current population 151 .
2026-02-25 16:30:44,791 [INFO] - For chunk 1/1, generation 23/30 and length of current population 151 .
2026-02-25 16:30:45,303 [INFO] - For chunk 1/1, generation 24/30 and length of current population 151 .
2026-02-25 16:30:45,751 [INFO] - For chunk 1/1, generation 25/30 and length of current population 151 .
2026-02-25 16:30:46,201 [INFO] - For chunk 1/1, generation 26/30 and length of current population 151 .
2026-02-25 16:30:46,651 [INFO] - For chunk 1/1, generation 27/30 and length of current population 151 .
2026-02-25 16:30:47,101 [INFO] - For chunk 1/1, generation 28/30 and length of current population 151 .
2026-02-25 16:30:47,551 [INFO] - For chunk 1/1, generation 29/30 and length of current population 151 .
2026-02-25 16:30:48,088 [INFO] - For chunk 1/1, generation 30/30 and length of current population 151 .
2026-02-25 16:31:27,294 [INFO] - Checkpoint saved successfully to checkpoint.pkl
2026-02-25 16:31:27,294 [INFO] -  Starting Iteration 1 | Train: 150-1150 | Test: 1150-1650 
2026-02-25 16:31:27,551 [INFO] - Running advanced evolution...
2026-02-25 16:31:27,553 [INFO] - Dataset iteration 1 for depth 2 in high volatility regime.
2026-02-25 16:31:28,031 [INFO] - For chunk 1/1, generation 1/30 and length of current population 151 .
2026-02-25 16:31:28,334 [INFO] - For chunk 1/1, generation 2/30 and length of current population 151 .
2026-02-25 16:31:28,651 [INFO] - For chunk 1/1, generation 3/30 and length of current population 151 .
2026-02-25 16:31:28,961 [INFO] - For chunk 1/1, generation 4/30 and length of current population 151 .
2026-02-25 16:31:29,261 [INFO] - For chunk 1/1, generation 5/30 and length of current population 151 .
2026-02-25 16:31:29,591 [INFO] - For chunk 1/1, generation 6/30 and length of current population 151 .
2026-02-25 16:31:29,885 [INFO] - For chunk 1/1, generation 7/30 and length of current population 151 .
2026-02-25 16:31:30,195 [INFO] - For chunk 1/1, generation 8/30 and length of current population 151 .
2026-02-25 16:31:30,511 [INFO] - For chunk 1/1, generation 9/30 and length of current population 151 .
2026-02-25 16:31:30,822 [INFO] - For chunk 1/1, generation 10/30 and length of current population 151 .
2026-02-25 16:31:31,104 [INFO] - For chunk 1/1, generation 11/30 and length of current population 151 .
2026-02-25 16:31:31,401 [INFO] - For chunk 1/1, generation 12/30 and length of current population 151 .
