Close,High,Low,Open,Volume,macd_hist,coppock,sma20,psar,hurst,roc,rsi,bbup,bblow,tenkan,kijun,senkouspan a,senkouspan b,rsi ewma,supertrend,adx,positive adx,negative adx,aroon,williamsr,cmo,cci,rvi,rvi signal,kama,ema cross,fisher,frama,tema,bull power,bear power
1142.760009765625,1142.7900390625,1128.3900146484375,1128.5899658203125,1477600000,-1.3514193134687904,-0.007147507999005415,1135.344500732422,1148.2031767207645,,0.012555528911700975,58.27004472295903,1153.1055898467243,1117.5834116181195,1138.875,,,,100.0,,0.0,23.517978810382274,18.040934074668296,,-38.24240944602273,3.053735205547943,30.599401306818848,0.0010598799810041877,-0.057901175610604795,1133.7221160495533,2.1929768889765455,-1.1781921757578786,1133.5886568301883,1137.5748639291035,8.133380601059343,-6.2666438130031565
1139.81005859375,1144.4599609375,1139.2099609375,1142.760009765625,1303500000,-0.9951337583335738,-0.005139901302925722,1136.2420043945312,1147.1702498472464,,-0.0025814266745999292,56.02744870945639,1152.9148070603644,1119.569201728698,1135.760009765625,1130.22998046875,,,100.0,,0.0,23.813788576444395,17.39718885674863,60.0,-47.181655421401516,1.0630015570727034,55.75597206407244,0.34047482623751274,-0.017496741702045977,1133.7527336561789,2.399692808418422,-0.6182247074719712,1134.5775319823852,1138.4223817952968,9.067102457157944,3.8171024571579437
1145.5400390625,1147.02001953125,1138.699951171875,1139.81005859375,1403900000,-0.39983494125986674,-0.005967503109371452,1137.1575073242188,1122.3800048828125,,0.005027136254455833,59.303744774154154,1153.7573812466835,1120.5576334017542,1134.7000122070312,1131.9299926757812,,,100.0,,0.0,24.21307664147282,16.3985407688813,56.00000000000001,-29.81807824337121,-2.195903060139572,74.50623978410981,0.5563935611820222,0.1730715254212566,1133.8239680738375,3.007265364114801,0.011974514639931322,1136.8318446387461,1140.5629898543225,10.177563824885283,1.8574954655102829
1157.760009765625,1158.8900146484375,1142.3299560546875,1145.5400390625,1699300000,0.7291535299316037,0.006561515592142757,1138.9845092773437,1122.8728051757812,,0.010667432203527172,65.25016888498729,1156.229428762365,1121.7395897923225,1141.6649780273438,1137.0399780273438,,,100.0,,16.178913417968012,29.4134448269599,14.601895674556738,80.0,-3.0950550001671737,13.383788231288657,154.52892293176546,0.5499131224039147,0.3907849628706648,1134.3279641495856,4.462959128747343,0.6073630957944767,1137.5538779260364,1145.4403618111953,19.059336933607028,2.499278339857028
1152.1099853515625,1157.760009765625,1151.43994140625,1157.760009765625,1464300000,0.991381666613206,0.017170339406907185,1140.0640075683593,1124.3134935546875,,-0.004880134368439815,60.82482386895852,1157.7746266399497,1122.353388496769,1141.6649780273438,1137.0399780273438,,,100.0,,17.42691098855755,28.146029874813134,13.972705145650805,80.0,-18.570330001003043,9.913581194827936,142.37304952677064,0.44512935444191887,0.4997029246418842,1134.6023109641594,4.974090336348581,1.1525515386802498,1137.7359729893333,1147.9075346309987,16.175145245547128,9.855076886172128
1145.81005859375,1156.8800048828125,1143.239990234375,1152.1099853515625,1329200000,0.6528599766839172,0.01365484692554083,1140.7520080566405,1125.6965543984375,,-0.0054681643574940875,56.244312480754495,1158.2192122542149,1123.2848038590662,1141.6649780273438,1137.0399780273438,,,100.0,,17.391805565199157,25.583812653325168,18.17334725267097,80.0,-35.82567120264803,-9.656513445629939,81.79001554267643,0.18561553090047136,0.45534900762902675,1134.7709447670818,4.720880552790959,1.4068688667916511,1137.9017731455576,1148.2178496328256,14.691541209352863,1.051526560915363
1156.989990234375,1158.97998046875,1145.81005859375,1145.81005859375,1396500000,1.0695815271649085,0.022726263545171817,1141.610009765625,1127.0242928084374,,0.009757229443723148,61.7493497186636,1160.5133030094046,1122.7067165218452,1141.7099609375,1137.0849609375,,,100.0,,17.557038458472178,24.750349100930404,16.60186749823329,80.0,-5.437135414755843,13.08917590694688,118.32528198739044,-0.007178735799387985,0.3007040262148845,1135.2274185007811,5.4196521441892855,1.6360712208070245,1138.2937468662274,1151.2938975701845,14.677013000873785,1.5070911258737851
1151.8199462890625,1157.4000244140625,1149.5400390625,1156.989990234375,1382400000,0.8919746389412309,0.027787099390572344,1142.2625061035155,1128.9416340680561,,-0.004468529536945431,58.108480826360434,1161.647802122588,1122.877210084443,1141.7099609375,1137.0849609375,,,100.0,,17.710469002225697,23.447217153040647,15.727761688923028,80.0,-19.562947966660776,26.384816114524956,96.96523009719627,-0.01563509939378881,0.13106130754171613,1136.0554550398024,5.395454978155158,1.8961204478176175,1138.5715053750298,1152.389123365515,12.023202828873991,4.163217477311491
1147.06005859375,1158.5699462890625,1146.8499755859375,1151.8199462890625,1562800000,0.3753068689998553,0.026070827314260928,1142.2345092773437,1130.7439348520977,,-0.004132492852418457,54.899073624065984,1161.5888191643892,1122.8801993902982,1143.6849975585938,1137.0849609375,,,100.0,,17.449377735300995,21.61937118923328,16.290996501000123,80.0,-34.51044700161158,14.784923383528328,72.29581972408445,0.014238561079697195,0.025704403598969163,1136.3148956630162,4.872003509710339,2.0338819488935904,1139.0829877631668,1151.9635176269855,12.952662274079557,1.2326915709545574
1144.1099853515625,1149.81005859375,1139.0,1147.06005859375,1479600000,-0.2121503845771846,0.027645446536489426,1142.2430114746094,1132.4380975890967,,-0.002571855954782487,52.947211356594686,1161.6006249325012,1122.8853980167175,1148.8399658203125,1140.0999755859375,,,100.0,,16.251349140748427,20.065601394754104,20.339132315173323,76.0,-43.05147162769657,14.824129710437898,17.67973382355321,-0.1841942456335719,-0.032361009676857184,1136.4992354867034,4.144732167776738,1.3662533034898487,1144.1099853515625,1150.7662536022667,4.40810295925553,-6.40195563449447
1140.989990234375,1146.68994140625,1136.97998046875,1144.1099853515625,1380400000,-0.8235421185712877,0.022293239585969966,1142.2150085449218,1134.0306105618758,,-0.002727006281855626,50.88661232576098,1161.5784623252953,1122.8515547645484,1147.97998046875,1140.6799926757812,,,100.0,,15.384066435855885,18.761292407446643,20.369322480427837,36.0,-52.08445248664084,6.620442980130209,-5.346037887831998,-0.3785719158391237,-0.12235306405677698,1136.5481641771728,3.26446277173568,0.5777007029933451,1140.989990234375,1148.9029848642288,1.9182665432010708,-7.791694394298929
